# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  7 -8.85032 609.44 454.493
  8 -6.32165 592.81 453.219
  9 -3.79299 582.91 466.825
  10 -1.26433 623.46 479.505
  11 1.26433 598.42 479.549
  12 3.79299 598.64 476.484
  13 6.32165 640.64 460.955
  14 8.85032 659.53 465.808
  15 11.379 599.78 445.085
  16 13.9076 596.17 449.702
  17 16.4363 628.81 454.759
  18 18.965 603.87 451.253
  19 21.4936 634.73 433.642
  20 24.0223 617.11 429.62
19000 20 12311.999999999998
  1 -24.0223 622.79 426.815
  2 -21.4936 632.48 430.602
  3 -18.965 619.34 439.75
  4 -16.4363 636.78 431.57
  5 -13.9076 586.21 439.514
  6 -11.379 607.14 449.773
  7 -8.85032 612.68 445.99
  8 -6.32165 603.76 453.593
  9 -3.79299 582.4 461.75
  10 -1.26433 642.16 468.136
  11 1.26433 604.08 487.285
  12 3.79299 594.41 485.433
  13 6.32165 624.48 467.414
  14 8.85032 643.82 459.833
  15 11.379 607.38 460.199
  16 13.9076 599.85 445.163
  17 16.4363 628.43 441.576
  18 18.965 619.98 447.378
  19 21.4936 629.48 437.343
  20 24.0223 614.35 433.396
20000 20 12312
  1 -24.0223 621.12 434.479
  2 -21.4936 627.73 438.922
  3 -18.965 626.65 428.978
  4 -16.4363 633.38 427.334
  5 -13.9076 594.61 439.471
  6 -11.379 605.23 437.44
  7 -8.85032 619.67 439.388
  8 -6.32165 612.42 454.834
  9 -3.79299 587.11 476.108
  10 -1.26433 618.14 477.041
  11 1.26433 616.15 482.067
  12 3.79299 587.82 479.561
  13 6.32165 624.3 465.485
  14 8.85032 623.87 461.946
  15 11.379 615.6 465.421
  16 13.9076 603.49 448.92
  17 16.4363 623.33 441.003
  18 18.965 627.88 442.533
  19 21.4936 620.33 437.715
  20 24.0223 623.17 435.27
21000 20 12312
  1 -24.0223 637.57 430.62
  2 -21.4936 619.82 431.969
  3 -18.965 631.11 433.334
  4 -16.4363 633.53 436.209
  5 -13.9076 596.67 433.043
  6 -11.379 614.97 437.42
  7 -8.85032 636.23 438.391
  8 -6.32165 603.49 453.041
  9 -3.79299 591.77 480.849
  10 -1.26433 601.3 479.95
  11 1.26433 618.03 483.047
  12 3.79299 582.16 475.67
  13 6.32165 623.74 476.868
  14 8.85032 601.04 464.244
  15 11.379 623.16 458.533
  16 13.9076 601.84 448.055
  17 16.4363 621.59 442.29
  18 18.965 628.38 440.469
  19 21.4936 628.69 439.682
  20 24.0223 616.91 432.697
22000 20 12312.000000000002
  1 -24.0223 651.97 429.947
  2 -21.4936 610.89 428.646
  3 -18.965 624.48 433.393
  4 -16.4363 616.17 439.647
  5 -13.9076 611.83 433.356
  6 -11.379 620.95 445.619
  7 -8.85032 611.97 442.036
  8 -6.32165 610.52 449.789
  9 -3.79299 591 467.653
  10 -1.26433 611.98 484.813
  11 1.26433 611.82 480.107
  12 3.79299 577.75 470.146
  13 6.32165 632.33 468.981
  14 8.85032 605.39 462.571
  15 11.379 623.53 466.63
  16 13.9076 601.71 447.723
  17 16.4363 626.51 435.511
  18 18.965 631.62 435.718
  19 21.4936 638.67 437.131
  20 24.0223 600.91 430.44
23000 20 12312
  1 -24.0223 624.97 428.438
  2 -21.4936 611.9 426.228
  3 -18.965 630.39 429.395
  4 -16.4363 613.42 432.893
  5 -13.9076 619.09 440.427
  6 -11.379 613.13 445.402
  7 -8.85032 615.86 451.447
  8 -6.32165 600.76 442.896
  9 -3.79299 586.54 459.961
  10 -1.26433 607.02 471.688
  11 1.26433 602.86 480.148
  12 3.79299 597.48 474.575
  13 6.32165 624.45 467.434
  14 8.85032 610.45 465.612
  15 11.379 629.45 464.322
  16 13.9076 604.72 454.491
  17 16.4363 639.11 445.564
  18 18.965 629.9 431.323
  19 21.4936 625.28 431.937
  20 24.0223 625.22 424.352
24000 20 12312.000000000002
  1 -24.0223 623.26 427.63
  2 -21.4936 613.87 432.229
  3 -18.965 632.9 432.015
  4 -16.4363 616.06 437.715
  5 -13.9076 599.9 447.954
  6 -11.379 625.13 442.976
  7 -8.85032 618.47 451.809
  8 -6.32165 622.35 453.092
  9 -3.79299 611.82 459.674
  10 -1.26433 626.47 468.949
  11 1.26433 608.57 481.871
  12 3.79299 590.35 477.162
  13 6.32165 632.54 463.674
  14 8.85032 599.36 467.252
  15 11.379 620.71 457.606
  16 13.9076 597.55 444.362
  17 16.4363 615.04 434.191
  18 18.965 631.76 439.547
  19 21.4936 609.3 443.252
  20 24.0223 616.59 431.779
25000 20 12312.000000000002
  1 -24.0223 634.17 424.972
  2 -21.4936 609.91 435.623
  3 -18.965 632.03 439.942
  4 -16.4363 628.49 438.135
  5 -13.9076 607.4 437.706
  6 -11.379 600.34 452.277
  7 -8.85032 620.83 450.566
  8 -6.32165 617.27 448.403
  9 -3.79299 592.29 454.497
  10 -1.26433 620.34 470.231
  11 1.26433 591.65 483.184
  12 3.79299 601.05 474.134
  13 6.32165 618.49 470.936
  14 8.85032 614.67 462.357
  15 11.379 600.62 458.138
  16 13.9076 594.69 456.694
  17 16.4363 621.48 444.316
  18 18.965 642.94 439.472
  19 21.4936 632.09 443.163
  20 24.0223 631.25 431.055
26000 20 12311.999999999996
  1 -24.0223 614.55 424.529
  2 -21.4936 627.15 439.285
  3 -18.965 626.01 440.469
  4 -16.4363 625.42 434.225
  5 -13.9076 615.93 438.868
  6 -11.379 616.29 446.66
  7 -8.85032 613.67 444.731
  8 -6.32165 615.92 455.088
  9 -3.79299 608.04 467.025
  10 -1.26433 602.56 471.554
  11 1.26433 594.22 478.976
  12 3.79299 606.23 475.317
  13 6.32165 619.48 458.428
  14 8.85032 612.23 453.091
  15 11.379 605.34 457.301
  16 13.9076 588.88 448.813
  17 16.4363 611.96 442.203
  18 18.965 650.47 444.941
  19 21.4936 618.74 443.027
  20 24.0223 638.91 434.905
27000 20 12312
  1 -24.0223 600.28 431.024
  2 -21.4936 638.61 436.114
  3 -18.965 619.62 436.753
  4 -16.4363 634.53 437.162
  5 -13.9076 602.51 441.008
  6 -11.379 620.62 449.505
  7 -8.85032 599.52 445.41
  8 -6.32165 623.13 451.718
  9 -3.79299 597.32 459.926
  10 -1.26433 619.46 467.846
  11 1.26433 600.87 480.322
  12 3.79299 617.64 472.607
  13 6.32165 608.43 466.401
  14 8.85032 632.72 462.679
  15 11.379 598.74 458.274
  16 13.9076 586.12 447.701
  17 16.4363 613.73 434.622
  18 18.965 633 436.201
  19 21.4936 623.29 444.377
  20 24.0223 641.86 434.592
28000 20 12312.000000000004
  1 -24.0223 585.04 422.235
  2 -21.4936 642.41 434.234
  3 -18.965 618.84 439.59
  4 -16.4363 628.27 434.583
  5 -13.9076 599.34 449.348
  6 -11.379 609.73 452.082
  7 -8.85032 616.05 439.747
  8 -6.32165 611.16 450.387
  9 -3.79299 598.94 461.025
  10 -1.26433 606.18 475.585
  11 1.26433 616.97 483.937
  12 3.79299 605.62 464.415
  13 6.32165 621.96 463.193
  14 8.85032 629.69 457.262
  15 11.379 606.15 461.754
  16 13.9076 587.67 456.183
  17 16.4363 619.28 439.519
  18 18.965 647.96 437.916
  19 21.4936 632.87 434.648
  20 24.0223 627.87 431.505
29000 20 12312
  1 -24.0223 599.11 426.106
  2 -21.4936 620.04 437.526
  3 -18.965 622.61 441.965
  4 -16.4363 638.6 445.615
  5 -13.9076 604.85 453.673
  6 -11.379 608.32 451.528
  7 -8.85032 618.63 450.736
  8 -6.32165 603.4 447.419
  9 -3.79299 590.1 470.064
  10 -1.26433 623.72 474.159
  11 1.26433 623.69 473.522
  12 3.79299 599.63 468.677
  13 6.32165 642.41 464.125
  14 8.85032 609.54 457.499
  15 11.379 608.69 451.626
  16 13.9076 596.73 463.346
  17 16.4363 617.01 440.972
  18 18.965 631.23 441.458
  19 21.4936 624.08 439.519
  20 24.0223 629.61 433.373
30000 20 12312
  1 -24.0223 607.45 428.391
  2 -21.4936 612.13 435.415
  3 -18.965 649.64 430.674
  4 -16.4363 630.91 440.92
  5 -13.9076 598.92 443.781
  6 -11.379 600.75 443.977
  7 -8.85032 627.18 446.18
  8 -6.32165 600.31 454.269
  9 -3.79299 596.02 473.004
  10 -1.26433 622.99 470.247
  11 1.26433 598.31 468.519
  12 3.79299 616.02 458.114
  13 6.32165 628.99 463.453
  14 8.85032 628.19 457.759
  15 11.379 623.53 455.199
  16 13.9076 594.92 453.389
  17 16.4363 636.42 445.028
  18 18.965 613.91 444.221
  19 21.4936 615.43 437.456
  20 24.0223 609.98 431.94
31000 20 12312.000000000002
  1 -24.0223 618.32 432.158
  2 -21.4936 617.94 430.224
  3 -18.965 646.4 428.164
  4 -16.4363 611 445.378
  5 -13.9076 613.73 435.853
  6 -11.379 614.84 440.78
  7 -8.85032 609.67 440.364
  8 -6.32165 619.71 458.085
  9 -3.79299 576.42 469.498
  10 -1.26433 626.72 461.851
  11 1.26433 596.5 468.141
  12 3.79299 624.37 462.727
  13 6.32165 610.98 462.432
  14 8.85032 624.25 471.085
  15 11.379 622.63 448.816
  16 13.9076 592.84 446.267
  17 16.4363 626.36 440.981
  18 18.965 628.86 450.363
  19 21.4936 618.04 453.8
  20 24.0223 612.42 437.125
32000 20 12312
  1 -24.0223 617.12 426.332
  2 -21.4936 612.09 421.425
  3 -18.965 634.15 429.386
