# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  4 26.4617 956.51 435.629
  5 28.9143 357.44 439.863
  6 31.367 785.13 453.923
  7 33.8196 420.12 451.351
  8 36.2722 645.29 470.505
  9 38.7249 515.53 484.333
  10 41.1775 565.97 494.983
  11 43.6301 578.05 509.944
  12 46.0827 539.8 495.031
  13 48.5354 580.47 471.972
  14 50.988 533.13 459.231
  15 53.4406 614.13 452.181
  16 55.8933 468.55 435.104
  17 58.3459 723.07 440.135
  18 60.7985 367.73 444.761
  19 63.2511 969.95 434.625
  20 65.7038 336.16 394.503
21000 20 12312.000000000002
  1 19.1038 975.45 392.499
  2 21.5565 1007.22 419.428
  3 24.0091 399.15 438.681
  4 26.4617 952.93 437.361
  5 28.9143 365.11 450.66
  6 31.367 780.84 454.156
  7 33.8196 436.8 453.618
  8 36.2722 645.3 474.882
  9 38.7249 508 490.266
  10 41.1775 556.69 488.647
  11 43.6301 575.89 503.726
  12 46.0827 543.18 492.832
  13 48.5354 596.73 476.278
  14 50.988 540.84 460.074
  15 53.4406 606.52 444.157
  16 55.8933 442.42 441.549
  17 58.3459 725.32 443.639
  18 60.7985 360.43 442.473
  19 63.2511 983 437.113
  20 65.7038 310.18 386.536
22000 20 12311.999999999998
  1 19.1038 1032.75 388.474
  2 21.5565 1005.27 416.929
  3 24.0091 328.2 439.353
  4 26.4617 976.72 443.477
  5 28.9143 354.89 452.553
  6 31.367 779.73 452.037
  7 33.8196 412.14 463.421
  8 36.2722 635.32 474.767
  9 38.7249 499.13 479.482
  10 41.1775 593.17 485.93
  11 43.6301 533.86 502.36
  12 46.0827 556.57 494.337
  13 48.5354 592.39 471.472
  14 50.988 521.09 455.932
  15 53.4406 646.85 457.554
  16 55.8933 435.55 449.744
  17 58.3459 755.28 439.642
  18 60.7985 361.39 434.369
  19 63.2511 987.31 439.383
  20 65.7038 304.39 391.1
23000 20 12311.999999999996
  1 19.1038 1042.7 390.702
  2 21.5565 952.57 411.693
  3 24.0091 326.71 436.576
  4 26.4617 968.11 445.327
  5 28.9143 333.58 444.789
  6 31.367 766.4 452.949
  7 33.8196 417.65 463.172
  8 36.2722 646.06 473.642
  9 38.7249 500.37 478.846
  10 41.1775 592.96 492.099
  11 43.6301 534.83 494.164
  12 46.0827 552.32 485.165
  13 48.5354 574.71 479.976
  14 50.988 533.84 457.205
  15 53.4406 644.46 461.562
  16 55.8933 459.59 451.295
  17 58.3459 756.74 442.175
  18 60.7985 365.45 437.899
  19 63.2511 980.23 433.193
  20 65.7038 362.72 393.794
24000 20 12312.000000000002
  1 19.1038 970.81 391.244
  2 21.5565 926.18 414.301
  3 24.0091 425.16 440.905
  4 26.4617 945.75 442.48
  5 28.9143 362.07 441.56
  6 31.367 772.01 451.049
  7 33.8196 416.9 471.346
  8 36.2722 656.99 475.786
  9 38.7249 504.9 480.207
  10 41.1775 601.55 487.658
  11 43.6301 526.81 511.742
  12 46.0827 564.84 496.635
  13 48.5354 573.86 486.603
  14 50.988 547.94 471.53
  15 53.4406 636.16 462.696
  16 55.8933 455.45 445.467
  17 58.3459 727.76 444.855
  18 60.7985 352.01 425.517
  19 63.2511 977.56 431.525
  20 65.7038 367.29 388.763
25000 20 12312
  1 19.1038 999.9 388.426
  2 21.5565 974.95 417.072
  3 24.0091 348.04 440.301
  4 26.4617 966.14 442.978
