# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  18 60.7985 374.21 428.828
  19 63.2511 994.76 424.917
  20 65.7038 424.61 366.558
21000 20 12312.000000000002
  1 19.1038 1001.58 365.218
  2 21.5565 1014.44 373.435
  3 24.0091 282.79 388.318
  4 26.4617 995.96 431.005
  5 28.9143 346.3 453.912
  6 31.367 722.43 464.26
  7 33.8196 448.89 472.902
  8 36.2722 607.94 484.107
  9 38.7249 503.26 501.773
  10 41.1775 550.28 529.5
  11 43.6301 554.61 528.119
  12 46.0827 536.72 510.567
  13 48.5354 606.56 515.654
  14 50.988 487.86 499.98
  15 53.4406 643.95 475.656
  16 55.8933 447.33 458.256
  17 58.3459 773.58 427.616
  18 60.7985 368.58 428.992
  19 63.2511 1012.03 425.455
  20 65.7038 406.91 364.813
22000 20 12312
  1 19.1038 1029.7 362.601
  2 21.5565 1037.14 379.319
  3 24.0091 294.6 380.202
  4 26.4617 1003.09 429.738
  5 28.9143 354.56 445.389
  6 31.367 728.81 471.076
  7 33.8196 449.58 481.769
  8 36.2722 623.03 493.442
  9 38.7249 486.08 501.222
  10 41.1775 569.45 521.389
  11 43.6301 569.91 534.057
  12 46.0827 519.88 520.821
  13 48.5354 601.14 512.028
  14 50.988 476.86 496.746
  15 53.4406 653.77 477.12
  16 55.8933 447.2 466.36
  17 58.3459 760.75 429.948
  18 60.7985 346.82 424.168
  19 63.2511 1026.08 431.351
  20 65.7038 333.55 358.186
23000 20 12312.000000000002
  1 19.1038 1000.03 366.742
  2 21.5565 1003.21 377.58
  3 24.0091 298.37 384.527
  4 26.4617 995.81 435.764
  5 28.9143 357.07 445.309
  6 31.367 729.42 465.037
  7 33.8196 442.31 482.711
  8 36.2722 621.36 500.074
  9 38.7249 497.53 504.893
  10 41.1775 557.46 524.518
  11 43.6301 564.29 522.296
  12 46.0827 535.95 517.264
  13 48.5354 585.85 504.698
  14 50.988 494.44 498.736
  15 53.4406 641.24 478.504
  16 55.8933 446.86 467.11
  17 58.3459 764.95 437.088
  18 60.7985 376.57 431.738
  19 63.2511 1004.99 429.372
  20 65.7038 394.29 354.343
24000 20 12312
  1 19.1038 1021.85 362.234
  2 21.5565 1020.66 376.157
  3 24.0091 296.4 382.215
  4 26.4617 1008.46 432.984
  5 28.9143 353.05 454.317
  6 31.367 722.98 469.181
  7 33.8196 460.08 478.344
  8 36.2722 614.16 492.342
  9 38.7249 498.88 504.83
  10 41.1775 549.41 519.419
  11 43.6301 583.69 528.446
  12 46.0827 545.45 506.003
  13 48.5354 577 502.686
  14 50.988 483.58 505.748
  15 53.4406 648.78 480.568
  16 55.8933 439.52 456.828
  17 58.3459 763.46 439.182
  18 60.7985 355.06 442.089
  19 63.2511 1024.03 425.27
  20 65.7038 345.5 358.191
25000 20 12312.000000000002
  1 19.1038 1029.73 359.958
  2 21.5565 1014.95 375.594
  3 24.0091 316.09 389.517
  4 26.4617 1000.47 426.846
  5 28.9143 358.84 453.143
  6 31.367 733.54 471.571
  7 33.8196 460.71 481.581
  8 36.2722 631.8 495.524
  9 38.7249 506.48 489.171
  10 41.1775 556.68 512.237
