# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 21 12311.999999999998
  4 -15.6597 615.8 444.32
  5 -13.2505 637.05 445.633
  6 -10.8414 619.64 447.037
  7 -8.43217 594.94 446.5
  8 -6.02298 627.05 453.219
  9 -3.61379 605.56 462.261
  10 -1.2046 583.1 452.756
  11 1.2046 601.26 456.54
  12 3.61379 643.32 458.029
  13 6.02298 592.58 456.215
  14 8.43217 621.14 460.384
  15 10.8414 632.99 454.473
  16 13.2505 594.74 459.635
  17 15.6597 629.96 453.195
  18 18.0689 613.45 440.755
  19 20.4781 639.97 436.564
  20 22.8873 598.05 439.404
  21 25.2965 0 0
14000 21 12312
  1 -22.8873 611.95 437.088
  2 -20.4781 621.54 433.47
  3 -18.0689 626.06 443.014
  4 -15.6597 602.98 445.635
  5 -13.2505 630.64 443.334
  6 -10.8414 617.78 443.447
  7 -8.43217 586.18 449.008
  8 -6.02298 627.77 449.348
  9 -3.61379 604.37 457.821
  10 -1.2046 582.81 448.63
  11 1.2046 590.39 459.234
  12 3.61379 662.59 453.485
  13 6.02298 575.73 461.455
  14 8.43217 629.42 464.888
  15 10.8414 631.74 446.106
  16 13.2505 637.32 455.485
  17 15.6597 605.18 455.604
  18 18.0689 622.75 450.659
  19 20.4781 649.64 441.772
  20 22.8873 595.16 435.475
  21 25.2965 0 0
15000 21 12312
  1 -22.8873 603.39 437.37
  2 -20.4781 619.28 429.211
  3 -18.0689 623.06 432.361
  4 -15.6597 603.55 440.075
  5 -13.2505 600 448.72
  6 -10.8414 658.72 448.195
  7 -8.43217 596.87 444.114
  8 -6.02298 614.91 445.276
  9 -3.61379 625.34 457.494
  10 -1.2046 588.09 459.587
  11 1.2046 592.05 465.692
  12 3.61379 619.47 454.546
  13 6.02298 604.14 455.956
  14 8.43217 614.94 465.518
  15 10.8414 615.27 459.613
  16 13.2505 653.46 452.177
  17 15.6597 614.46 453.177
  18 18.0689 615.78 454.979
  19 20.4781 632.3 446.396
  20 22.8873 616.92 435.117
  21 25.2965 0 0
16000 21 12312
  1 -22.8873 592.4 440.929
  2 -20.4781 617.78 442.046
  3 -18.0689 623.97 445.867
  4 -15.6597 614.68 446.147
  5 -13.2505 611.36 447.85
  6 -10.8414 664.16 451.907
  7 -8.43217 607.66 445.969
  8 -6.02298 600.39 442.956
  9 -3.61379 596.03 450.665
  10 -1.2046 602.02 464.93
  11 1.2046 598.75 460.684
  12 3.61379 596.25 453.148
  13 6.02298 605.07 454.814
  14 8.43217 603.42 462.755
  15 10.8414 619.68 455.719
  16 13.2505 638.19 454.314
  17 15.6597 632.94 453.888
  18 18.0689 619.39 443.077
  19 20.4781 620.22 445.729
  20 22.8873 647.64 437.003
  21 25.2965 0 0
17000 21 12312
  1 -22.8873 602.23 437.101
  2 -20.4781 639.16 432.904
  3 -18.0689 610.38 440.411
  4 -15.6597 621.11 434.686
  5 -13.2505 598.55 440.993
  6 -10.8414 644.41 448.925
  7 -8.43217 611.51 453.659
  8 -6.02298 609.4 448.282
  9 -3.61379 577.56 451.171
  10 -1.2046 625.65 469.596
  11 1.2046 591.33 473.373
  12 3.61379 592.66 455.567
  13 6.02298 615.33 458.638
  14 8.43217 606.59 459.757
  15 10.8414 618.52 459.133
  16 13.2505 617.83 456.396
  17 15.6597 651.67 461.021
  18 18.0689 607.88 447.44
  19 20.4781 621.21 439.947
  20 22.8873 649.02 442.044
  21 25.2965 0 0
18000 21 12312
  1 -22.8873 605.85 438.315
  2 -20.4781 612.3 427.494
  3 -18.0689 632.5 435.261
  4 -15.6597 620.42 439.272
  5 -13.2505 610.72 439.612
  6 -10.8414 640.28 445.725
  7 -8.43217 618.34 445.881
  8 -6.02298 588.97 451.751
  9 -3.61379 594.44 458.474
  10 -1.2046 623.11 466.78
  11 1.2046 607.59 470.054
  12 3.61379 577.62 461.771
  13 6.02298 646.94 456.691
  14 8.43217 611.21 460.771
  15 10.8414 617.04 459.322
  16 13.2505 624.06 452.032
  17 15.6597 643.99 453.036
  18 18.0689 602.45 452.839
  19 20.4781 597.71 444.868
  20 22.8873 636.46 445.306
  21 25.2965 0 0
19000 21 12312
  1 -22.8873 627.45 430.975
  2 -20.4781 613.33 430.385
  3 -18.0689 623.79 439.084
  4 -15.6597 611.13 431.543
  5 -13.2505 607.43 442.794
  6 -10.8414 640.87 443.27
  7 -8.43217 595.84 438.496
  8 -6.02298 594.42 443.49
  9 -3.61379 602.24 458.411
  10 -1.2046 612.68 461.027
  11 1.2046 620.87 464.001
  12 3.61379 584.14 467.268
  13 6.02298 636.65 458.988
  14 8.43217 597.49 463.373
  15 10.8414 616.5 451.576
  16 13.2505 634.35 454.132
  17 15.6597 639.23 446.406
  18 18.0689 607.59 443.885
  19 20.4781 625.31 448.576
  20 22.8873 620.69 444.306
  21 25.2965 0 0
20000 21 12312
  1 -22.8873 606 435.27
  2 -20.4781 630.23 437.107
  3 -18.0689 627.51 442.71
  4 -15.6597 607.83 438.126
  5 -13.2505 637.5 438.825
  6 -10.8414 645.27 442.83
  7 -8.43217 580.56 448.115
  8 -6.02298 608.09 454.552
  9 -3.61379 615.55 459.662
  10 -1.2046 587.23 467.686
  11 1.2046 606.11 474.834
  12 3.61379 596.34 470.716
  13 6.02298 624.3 463.85
  14 8.43217 599.66 460.262
  15 10.8414 635.81 455.209
  16 13.2505 629.56 455.743
  17 15.6597 614.36 445.501
  18 18.0689 616.42 448.169
  19 20.4781 628.62 441.887
  20 22.8873 615.05 440.82
  21 25.2965 0 0
21000 21 12312.000000000002
  1 -22.8873 606.88 429.109
  2 -20.4781 631.89 431.557
  3 -18.0689 623.68 432.742
  4 -15.6597 586.57 428.945
  5 -13.2505 650.7 439.965
  6 -10.8414 640.67 440.569
  7 -8.43217 572.53 456.485
  8 -6.02298 607.74 452.475
