# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  6 -11.379 581.47 439.406
  7 -8.85032 630.54 464.95
  8 -6.32165 604.3 461.241
  9 -3.79299 616.17 451.594
  10 -1.26433 625.46 454.244
  11 1.26433 604.47 468.081
  12 3.79299 626.43 463.404
  13 6.32165 606.8 461.835
  14 8.85032 616.52 447.494
  15 11.379 608.74 453.689
  16 13.9076 585.59 452.63
  17 16.4363 620.61 447.722
  18 18.965 616.42 439.863
  19 21.4936 620.52 443.646
  20 24.0223 620.95 445.81
19000 20 12312.000000000002
  1 -24.0223 643.75 433.971
  2 -21.4936 644.27 442.212
  3 -18.965 641.73 436.369
  4 -16.4363 604.26 441.193
  5 -13.9076 611.47 437.561
  6 -11.379 592.32 438.555
  7 -8.85032 622.26 449.508
  8 -6.32165 614.7 459.741
  9 -3.79299 597.64 459.477
  10 -1.26433 612.56 458.434
  11 1.26433 603.3 462.555
  12 3.79299 628.04 465.771
  13 6.32165 619.21 463.008
  14 8.85032 609.33 448.888
  15 11.379 617.22 468.463
  16 13.9076 601.16 448.681
  17 16.4363 607.16 445.68
  18 18.965 615.79 443.811
  19 21.4936 620.08 446.509
  20 24.0223 605.75 436.457
20000 20 12312.000000000002
  1 -24.0223 653.49 436.109
  2 -21.4936 630.95 438.3
  3 -18.965 634.6 445.688
  4 -16.4363 616.52 448.361
  5 -13.9076 611.88 448.98
  6 -11.379 586.87 447.418
  7 -8.85032 629.58 450.739
  8 -6.32165 610.06 464.287
  9 -3.79299 617.76 456.558
  10 -1.26433 616.82 459.979
  11 1.26433 598.38 467.24
  12 3.79299 634.72 460.86
  13 6.32165 604.08 458.957
  14 8.85032 604.71 455.591
  15 11.379 613.92 466.517
  16 13.9076 604.02 448.036
  17 16.4363 589.83 444.577
  18 18.965 610.4 440.294
  19 21.4936 621.83 436.288
  20 24.0223 621.58 435.367
21000 20 12312
  1 -24.0223 644.51 435.648
  2 -21.4936 608.2 435.489
  3 -18.965 630.11 435.988
  4 -16.4363 614.89 453.995
  5 -13.9076 609.89 441.703
  6 -11.379 585.41 448.238
  7 -8.85032 623.57 449.15
  8 -6.32165 603.34 462.588
  9 -3.79299 623.13 460.848
  10 -1.26433 584.56 460.28
  11 1.26433 649.56 476.398
  12 3.79299 618.85 461.335
  13 6.32165 633.59 460.67
  14 8.85032 606.27 455.825
  15 11.379 633.67 457.758
  16 13.9076 615.26 454.581
  17 16.4363 586.76 443.919
  18 18.965 618.38 440.044
  19 21.4936 597.73 436.69
  20 24.0223 624.32 439.111
22000 20 12312
  1 -24.0223 647.84 434.957
  2 -21.4936 612.39 430.406
  3 -18.965 635.05 440.943
  4 -16.4363 620.21 453.125
  5 -13.9076 596.33 448.129
  6 -11.379 597.8 444.812
  7 -8.85032 626 446.309
  8 -6.32165 602.67 456.957
  9 -3.79299 617.81 464.483
  10 -1.26433 595.78 472.272
  11 1.26433 635.29 479.485
  12 3.79299 628.8 464.727
  13 6.32165 614.87 462.836
  14 8.85032 637.49 456.788
  15 11.379 601.1 459.749
  16 13.9076 601.01 453.1
  17 16.4363 603.13 448.267
  18 18.965 621.6 435.85
  19 21.4936 611.63 440.559
  20 24.0223 605.2 436.591
23000 20 12311.999999999998
  1 -24.0223 658.95 430.293
  2 -21.4936 613.62 439.257
  3 -18.965 645.74 430.629
  4 -16.4363 612.67 434.842
  5 -13.9076 607.73 450.221
  6 -11.379 600.8 453.358
  7 -8.85032 625.94 451.661
  8 -6.32165 605.49 462.438
  9 -3.79299 615.92 464.903
  10 -1.26433 589.66 476.656
  11 1.26433 617.56 471.377
  12 3.79299 613.91 452.19
  13 6.32165 610.93 455.428
  14 8.85032 618.89 457.857
  15 11.379 591.7 464.768
  16 13.9076 612.63 453.243
  17 16.4363 603.67 459.059
  18 18.965 628.13 437.372
  19 21.4936 614.25 442.542
  20 24.0223 623.81 433.422
24000 20 12311.999999999998
  1 -24.0223 631.88 428.68
  2 -21.4936 635.28 445.432
  3 -18.965 624.11 437.697
  4 -16.4363 609.71 431.99
  5 -13.9076 621.07 449.75
  6 -11.379 595.31 453.334
  7 -8.85032 628.32 457.376
  8 -6.32165 618.95 455.194
  9 -3.79299 606.74 454.504
  10 -1.26433 606.18 467.856
  11 1.26433 600.7 477.55
  12 3.79299 640.1 458.179
  13 6.32165 617.43 460.277
  14 8.85032 619.84 458.427
  15 11.379 592.07 462.767
  16 13.9076 595.73 453.426
  17 16.4363 614.25 452.251
  18 18.965 626.3 438.235
  19 21.4936 595.13 432.254
  20 24.0223 632.9 422.344
